id,company,model,variant,fueltype,colour,kilometer,bodystyle,transmissiontype,manufacturedate,modelyear,cngkit,price,owner,dealerstate,dealername,city,warranty,qualityscore,car_age
582783,Tata,Altroz,Xz Petrol,Petrol,White,7779,Hatchback,Nan,01-07-2022,2022,Nan,8.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,9.0,3
582787,Honda,Jazz,1.2 V Cvt I Vtec Bsiv,Petrol,White,39145,Hatchback,Nan,01-09-2015,2015,Nan,6.25 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,7.5,10
582791,Maruti Suzuki,Wagon R 1.0,Vxi + O,Petrol,Red,62139,Hatchback,Nan,01-07-2018,2018,Nan,5.5 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,1,8.4,7
582804,Honda,City,1.5 V At,Petrol,Purple,50130,Sedan,Automatic,01-05-2012,2012,Nan,5.49 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,6.6000000000000005,13
582814,Ford,Figo,Exi Duratec 1.2,Petrol,Silver,53230,Hatchback,Manual,01-03-2011,2011,Nan,2.85 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,0,7.2,14
582863,Kia,Seltos,1.5 Ivt Htx,Petrol,White,33227,Suv,Nan,01-11-2019,2019,Nan,14 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.3,6
582954,Maruti Suzuki,Celerio X,Zxi Amt(O),Petrol,Grey,30588,Hatchback,Nan,01-07-2018,2018,Nan,5.7 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.5,7
583008,Mahindra,Xuv500,W6 4X2,Diesel,White,104000,Suv,Manual,01-11-2015,2015,Nan,9.75 Lakhs,1St Owner,Karnataka,The True Drive,Bangalore,0,6.9,10
583032,Volkswagen,Polo,Gt Tsi,Petrol,White,62700,Hatchback,Automatic,01-03-2021,2021,Nan,8.75 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,1,8.1,4
583033,Mahindra,Scorpio,S5 2Wd,Diesel,Black,123901,Suv,Nan,01-01-2018,2018,Nan,10.2 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,0,7.0,7
583035,Maruti Suzuki,Baleno,Zeta 1.2,Petrol,Blue,50041,Hatchback,Nan,01-01-2017,2017,Nan,7.35 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,1,8.0,8
583111,Hyundai,Creta,Sx 1.6 (O) Petrol,Petrol,White,31516,Suv,Nan,01-06-2018,2018,Nan,12.75 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,7.9,7
583144,Hyundai,I20,Asta 1.2 O,Petrol,Red,58437,Hatchback,Manual,01-12-2016,2016,Nan,6.95 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.1,9
583151,Hyundai,I20,Sportz 1.4 Crdi,Diesel,White,74960,Hatchback,Manual,01-08-2013,2013,Nan,4.75 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,7.2,12
583168,Maruti Suzuki,Swift,Zxi,Petrol,White,49808,Hatchback,Manual,01-02-2021,2021,Nan,7.5 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.5,4
583607,Tata,Tigor,Revotron Xza,Petrol,Red,32073,Sedan,Nan,01-10-2018,2018,Nan,6.45 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.4,7
584671,Volkswagen,Ameo,Highline 1.2L Plus (P),Petrol,White,33135,Sedan,Nan,01-11-2016,2016,Nan,5.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.0,9
584895,Nissan,Micra Active,Xv,Petrol,Blue,44515,Hatchback,Manual,01-05-2016,2016,Nan,4.25 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,7.9,9
584977,Ford,Figo Aspire,"Trend
 1.5",Diesel,Silver,123901,Sedan,Nan,01-03-2016,2016,Nan,3.95 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,7.1,9
585007,Maruti Suzuki,Swift,Vxi 1.2 Bs Iv,Petrol,Grey,47129,Hatchback,Manual,01-11-2018,2018,Nan,7.35 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,1,8.5,7
585012,Hyundai,I20,Sportz 1.4 Crdi,Diesel,White,108000,Hatchback,Manual,01-06-2014,2014,Nan,4.95 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,7.1,11
585018,Volkswagen,Polo,Gt Tsi 1.2 Petrol At,Petrol,White,63088,Hatchback,Auotmatic,01-07-2017,2017,Nan,9 Lakhs,2Nd Owner,Karnataka,Cardiction,Bangalore,1,7.6,8
585031,Hyundai,Elite I20,Sportz 1.2,Petrol,Red,45607,Hatchback,Manual,01-06-2016,2016,Nan,6.95 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,1,8.0,9
585039,Ford,Ecosport(2017-2019),Trend 1.5L Tdci,Diesel,Brown,63212,Suv,Nan,01-10-2018,2018,Nan,9.85 Lakhs,1St Owner,Karnataka,Cardiction,Bangalore,1,7.9,7
585066,Nissan,Kicks,Xv 1.5,Petrol,White,40924,Suv,Nan,01-01-2019,2019,Nan,7.95 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.2,6
585068,Hyundai,Santro,1.1 Ls,Petrol,Silver,86140,Hatchback,Nan,01-11-2003,2009,Nan,1.65 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,0,6.6000000000000005,16
585151,Maruti Suzuki,S Presso,Vxi(O)Amt,Petrol,Silver Grey,3299,Hatchback,Nan,01-07-2022,2022,Nan,5.95 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,9.0,3
585240,Hyundai,Eon,D Lite Plus,Petrol,White,62467,Hatchback,Manual,01-10-2012,2012,Nan,2.75 Lakhs,2Nd Owner,Karnataka,Cardiction,Bangalore,0,7.5,13
585354,Hyundai,Creta,1.6 Sx Plus At Petrol,Petrol,Silver,97335,Suv,Nan,01-11-2017,2017,Nan,9.25 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.2,8
585669,Ford,Ecosport,Trend 1.5 Ti Vct,Petrol,White,63264,Suv,Manual,01-11-2013,2013,Nan,5.25 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,7.0,12
585697,Toyota,Innova Crysta,2.8 Gx At 8 Str,Diesel,Metalic Grey,28031,Mpv,Nan,01-01-2020,2020,Nan,22.75 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.3,5
585699,Ford,Ecosport,Titanium 1.5 Ti Vct,Petrol,Bottle Green,76700,Suv,Manual,01-05-2015,2015,Nan,5.89 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,7.1,10
585976,Nissan,Micra,Xe Petrol,Petrol,Orange,61431,Hatchback,Manual,01-01-2011,2011,Nan,2.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,7.3,14
585979,Mahindra,Xuv300,W6 Diesel,Diesel,Red,17193,Suv,Nan,01-08-2021,2021,Nan,11.25 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.8,4
585982,Honda,Jazz,1.2 Vx I Vtec,Petrol,Cherry Red,49165,Hatchback,Nan,01-01-2017,2017,Nan,6.85 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.0,8
585988,Ford,Figo,Titanium 1.2,Petrol,Red,55950,Hatchback,Nan,01-11-2015,2015,Nan,5.45 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,7.8,10
586193,Ford,Ecosport,Titanium + 1.0L Ecoboost Black Edition,Petrol,Black,68778,Suv,Nan,01-10-2016,2016,Nan,6.75 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,7.7,9
586199,Mahindra,Kuv100,K8 6 Seater Diesel,Diesel,White,45815,Hatchback,Nan,01-12-2016,2016,Nan,4.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,0,8.0,9
586207,Maruti Suzuki,Swift,Vxi,Petrol,Warm Grey,50159,Hatchback,Manual,01-03-2018,2018,Nan,6.65 Lakhs,1St Owner,Karnataka,Zippy Automart,Bangalore,1,8.4,7
586216,Honda,City,Sv Cvt Petrol,Petrol,White,48325,Sedan,Automatic,01-07-2014,2014,Nan,7.5 Lakhs,1St Owner,Karnataka,Renew 4 U Automobiles Pvt Ltd,Bangalore,0,7.1,11
586264,Maruti Suzuki,Ciaz,Alpha 1.5 Mt,Petrol,Blue,25029,Sedan,Nan,01-11-2019,2019,Nan,9 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.4,6
586265,Mahindra,Scorpio,S10,Diesel,Silver,123901,Suv,Nan,01-12-2015,2015,Nan,8.95 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,6.6000000000000005,10
586312,Tata,Tiago,Xza 1.2 Rtn Bs4,Petrol,Brown,20361,Hatchback,Nan,01-04-2019,2019,Nan,6.45 Lakhs,2Nd Owner,Karnataka,Ace Motors,Bangalore,1,8.4,6
586509,Maruti Suzuki,Swift,Vxi,Petrol,White,60642,Hatchback,Manual,01-10-2014,2014,Nan,5.35 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,1,7.6,11
586642,Ford,Figo,Zxi Duratorq 1.4,Diesel,Grey,122790,Hatchback,Manual,01-03-2013,2013,Nan,2.95 Lakhs,2Nd Owner,Karnataka,Zippy Automart,Bangalore,0,6.9,12
586670,Maruti Suzuki,Swift,Vxi 1.2 Bs Iv,Petrol,White,30728,Hatchback,Manual,01-01-2016,2016,Nan,5.95 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.0,9
586674,Renault,Kwid,1.0 Rxl,Petrol,Red,30279,Hatchback,Nan,01-01-2016,2016,Nan,3.45 Lakhs,1St Owner,Karnataka,Top Gear Cars,Bangalore,1,8.2,9
586689,Bmw,X1(2010-2012),Sdrive20D M Sport,Diesel,White,71653,Suv,Nan,01-06-2011,2011,Nan,8.5 Lakhs,3Rd Owner,Karnataka,Propel Motors,Bangalore,0,6.6000000000000005,14
586780,Renault,Kwid,1.0 Rxt Amt O,Petrol,Silver,24191,Hatchback,Nan,01-10-2018,2018,Nan,4.95 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.5,7
586784,Tata,Altroz,Xz Petrol,Petrol,Red,20153,Hatchback,Nan,01-01-2020,2020,Nan,8.25 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.4,5
586787,Renault,Kwid,1.0 Rxt,Petrol,Brown,19126,Hatchback,Nan,01-08-2016,2016,Nan,3.95 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,8.3,9
586789,Maruti Suzuki,Ritz,Lxi Bs Iv,Petrol,White,60060,Hatchback,Manual,01-04-2012,2012,Nan,3.35 Lakhs,2Nd Owner,Karnataka,Ace Motors,Bangalore,0,7.2,13
586793,Maruti Suzuki,Ciaz,Alpha 1.4 Mt,Petrol,Maroon,26416,Sedan,Nan,01-08-2017,2017,Nan,7.95 Lakhs,1St Owner,Karnataka,Ace Motors,Bangalore,1,7.9,8
586834,Hyundai,Eon,Era Plus,Petrol,Smoke Grey,56417,Hatchback,Manual,01-03-2016,2016,Nan,2.9 Lakhs,1St Owner,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,8.1,9
