Id,Company,Model,Variant,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ManufactureDate,ModelYear,CngKit,Price,Owner,DealerState,DealerName,City,Warranty,QualityScore
585031,Hyundai,ELITE I20,SPORTZ 1.2,PETROL,Red,45607,HATCHBACK,manual,06-01-2016,2016,,695000,1,Karnataka,Cardiction,Bangalore,1,8
585039,Ford,ECOSPORT(2017-2019),TREND 1.5L TDCI,DIESEL,Brown,63212,SUV,,10-01-2018,2018,,985000,1,Karnataka,Cardiction,Bangalore,1,7.9
585066,Nissan,KICKS,XV 1.5,PETROL,White,40924,SUV,,01-01-2019,2019,,795000,1,Karnataka,ACE MOTORS,Bangalore,1,8.2
585068,Hyundai,SANTRO,1.1 LS,PETROL,Silver,86140,HATCHBACK,,11-01-2003,2003,,165000,1,Karnataka,ACE MOTORS,Bangalore,0,6.3
585151,Maruti Suzuki,S PRESSO,VXI(O)AMT,PETROL,Silver grey,3299,HATCHBACK,,07-01-2022,2022,,595000,1,Karnataka,Zippy Automart,Bangalore,1,9.2
585240,Hyundai,EON,D LITE PLUS,PETROL,White,62467,HATCHBACK,Manual,10-01-2012,2012,,275000,2,Karnataka,Cardiction,Bangalore,0,7.5
585354,Hyundai,CRETA,1.6 SX PLUS AT PETROL,PETROL,Silver,97335,SUV,,11-01-2017,2017,,925000,1,Karnataka,Top Gear Cars,Bangalore,1,7.2
585669,Ford,ECOSPORT,TREND 1.5 TI VCT,PETROL,White,63264,SUV,Manual,11-01-2013,2013,,525000,1,Karnataka,Top Gear Cars,Bangalore,0,7
585699,Ford,ECOSPORT,TITANIUM 1.5 TI VCT,PETROL,Bottle green,76700,SUV,Manual,05-01-2015,2015,,589000,2,Karnataka,Zippy Automart,Bangalore,0,7.1
585976,Nissan,MICRA,XE PETROL,PETROL,Orange,61431,HATCHBACK,Manual,01-01-2011,2011,,295000,1,Karnataka,Top Gear Cars,Bangalore,0,7.3
585979,Mahindra,XUV300,W6 DIESEL,DIESEL,Red,17193,SUV,,08-01-2021,2021,,1125000,1,Karnataka,ACE MOTORS,Bangalore,1,8.8
585982,Honda,JAZZ,1.2 VX I VTEC,PETROL,Cherry red,49165,HATCHBACK,,01-01-2017,2017,,685000,1,Karnataka,ACE MOTORS,Bangalore,1,8
585988,Ford,FIGO,TITANIUM 1.2,PETROL,Red,55950,HATCHBACK,,11-01-2015,2015,,545000,1,Karnataka,ACE MOTORS,Bangalore,1,7.8
586193,Ford,ECOSPORT,TITANIUM + 1.0L ECOBOOST BLACK EDITION,PETROL,Black,68778,SUV,,10-01-2016,2016,,675000,1,Karnataka,Top Gear Cars,Bangalore,1,7.7
586199,Mahindra,KUV100,K8 6 SEATER DIESEL,DIESEL,White,45815,HATCHBACK,,12-01-2016,2016,,495000,1,Karnataka,Top Gear Cars,Bangalore,0,8
586207,Maruti Suzuki,SWIFT,VXI,PETROL,Warm grey,50159,HATCHBACK,Manual,03-01-2018,2018,,665000,1,Karnataka,Zippy Automart,Bangalore,1,8.4
586216,Honda,CITY,SV CVT PETROL,PETROL,White,48325,SEDAN,Automatic,07-01-2014,2014,,750000,1,Karnataka,Renew 4 u Automobiles PVT Ltd ,Bangalore,0,7.1
586264,Maruti Suzuki,CIAZ,ALPHA 1.5 MT,PETROL,Blue,25029,SEDAN,,11-01-2019,2019,,900000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.4
586265,Mahindra,SCORPIO,S10,DIESEL,Silver,195575,SUV,,12-01-2015,2015,,895000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,5.5
586312,Tata,TIAGO,XZA 1.2 RTN BS4,PETROL,Brown,20361,HATCHBACK ,,04-01-2019,2019,,645000,2,Karnataka,ACE MOTORS,Bangalore,1,8.4
586509,Maruti Suzuki,SWIFT,VXI,PETROL,White,60642,HATCHBACK,Manual,10-01-2014,2014,,535000,2,Karnataka,Zippy Automart,Bangalore,1,7.6
586642,Ford,FIGO,ZXI DURATORQ 1.4,DIESEL,Grey,122790,HATCHBACK,Manual,03-01-2013,2013,,295000,2,Karnataka,Zippy Automart,Bangalore,0,6.9
586670,Maruti Suzuki,SWIFT,VXI 1.2 BS IV,PETROL,White,30728,HATCHBACK,Manual,01-01-2016,2016,,595000,1,Karnataka,Top Gear Cars,Bangalore,1,8
586674,Renault,KWID,1.0 RXL,PETROL,Red,30279,HATCHBACK,,01-01-2016,2016,,345000,1,Karnataka,Top Gear Cars,Bangalore,1,8.2
586689,Bmw,X1(2010-2012),SDRIVE20D M SPORT,DIESEL,White,71653,SUV,,06-01-2011,2011,,850000,3,Karnataka,PROPEL MOTORS,Bangalore,0,5.7
586780,Renault,KWID,1.0 RXT AMT O,PETROL,Silver,24191,HATCHBACK,,10-01-2018,2018,,495000,1,Karnataka,ACE MOTORS,Bangalore,1,8.5
586784,Tata,ALTROZ,XZ PETROL,PETROL,Red,20153,HATCHBACK,,01-01-2020,2020,,825000,1,Karnataka,ACE MOTORS,Bangalore,1,8.4
586787,Renault,KWID,1.0 RXT,PETROL,Brown,19126,HATCHBACK,,08-01-2016,2016,,395000,1,Karnataka,ACE MOTORS,Bangalore,1,8.3
586789,Maruti Suzuki,RITZ,LXI BS IV,PETROL,White,60060,HATCHBACK,Manual,04-01-2012,2012,,335000,2,Karnataka,ACE MOTORS,Bangalore,0,7.2
586793,Maruti Suzuki,CIAZ,ALPHA 1.4 MT,PETROL,Maroon,26416,SEDAN,,08-01-2017,2017,,795000,1,Karnataka,ACE MOTORS,Bangalore,1,7.9
586834,Hyundai,EON,ERA PLUS,PETROL,Smoke grey,56417,HATCHBACK,Manual,03-01-2016,2016,,290000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,8.1
586856,Renault,KWID,1.0 RXT O,PETROL,Brown,28107,HATCHBACK,,11-01-2016,2016,,365000,2,Karnataka,Top Gear Cars,Bangalore,1,7.9
586886,Maruti Suzuki,CELERIO,ZXI MT,PETROL,Grey,53488,HATCHBACK,MANUAL,12-01-2014,2014,,372000,1,Karnataka,Zippy Automart,Bangalore,1,7.8
586923,Honda,AMAZE,1.2VXMTIVTEC,PETROL,Grey,45529,SEDAN,Manual,03-01-2019,2019,,775000,1,Karnataka,ACE MOTORS,Bangalore,1,8.4
586944,Maruti Suzuki,S PRESSO,VXI(O),PETROL,White,42260,HATCHBACK,,06-01-2022,2022,,500000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.8
586950,Ford,ECOSPORT(2021-2022),TITANIUM + MT SPORTS DIESEL,DIESEL,Black,45400,SUV,,04-01-2021,2021,,1085000,1,Karnataka,Zippy Automart,Bangalore,0,8.3
586965,Maruti Suzuki,BALENO,ZETA,PETROL,Pearl white,38966,HATCHBACK,,02-01-2021,2021,,850000,1,Karnataka,Adeep Motors,Bangalore,1,8.7
586977,Tata,NEXON,XM,PETROL,White,53647,HATCHBACK,,09-01-2018,2018,,825000,1,Karnataka,PROPEL MOTORS,Bangalore,1,8.3
587269,Honda,JAZZ,1.2 VX I VTEC,PETROL,Brown,67650,HATCHBACK,,09-01-2015,2015,,545000,2,Karnataka,ACE MOTORS,Bangalore,0,7.5
587270,Hyundai,GRAND I10(2013-2017),ASTA AT 1.2 KAPPA VTVT O,PETROL,Grey,46767,HATCHBACK,,06-01-2016,2016,,595000,2,Karnataka,ACE MOTORS,Bangalore,1,7.9
587290,Maruti Suzuki,EECO,5 STR WITH AC PLUSHTR,PETROL,Blue,55231,VAN,Manual,09-01-2017,2017,,425000,1,Karnataka,Top Gear Cars,Bangalore,1,8.2
587323,Volkswagen,AMEO,HIGHLINE DIESEL,DIESEL,Dark grey,70336,SEDAN,,10-01-2016,2016,,625000,1,Karnataka,Top Gear Cars,Bangalore,1,7.7
587806,Hyundai,CRETA,SX 1.5 PETROL,PETROL,White,24468,SUV,,06-01-2021,2021,,1425000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.6
587853,Hyundai,ELITE I20,MAGNA PLUS 1.2,PETROL,Grey,47615,HATCHBACK,,06-01-2019,2019,,650000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.4
587862,Hyundai,ELITE I20,ASTA 1.2,PETROL,Grey,34337,HATCHBACK,Automatic,06-01-2017,2017,,700000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.1
587945,Mahindra,XYLO,H8 ABS BS IV,DIESEL,Black,116959,MUV,Manual,10-01-2014,2014,,475000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,6.8
588036,Ford,ECOSPORT,TITANIUM 1.5 TI VCT,PETROL,Brown,94390,SUV,Manual,08-01-2016,2016,,585000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,0,7.3
588123,Maruti Suzuki,BALENO,ALPHA 1.2,PETROL,Blue,30149,HATCHBACK,,04-01-2018,2018,,750000,1,Karnataka,Sireesh Auto Pvt Ltd,Bangalore,1,8.2
588247,Renault,DUSTER,RXL PETROL,PETROL,Pearl white,35599,SUV,,01-01-2018,2018,,815000,1,Karnataka,Cardiction,Bangalore,1,8
588384,Ford,ASPIRE,TITANIUM 1.2 TI-VCT O,PETROL,Red,36961,SEDAN,,09-01-2015,2015,,495000,1,Karnataka,Top Gear Cars,Bangalore,1,7.8
588399,Ford,ASPIRE(2015_2018),TITANIUM 1.5 TI-VCT AT,PETROL,Smoke grey,50130,SEDAN,,12-01-2015,2015,,545000,1,Karnataka,Top Gear Cars,Bangalore,1,7.5
588517,Hyundai,CRETA,EX 1.5 PETROL,PETROL,Intense black,54260,SUV,,01-01-2021,2021,,1175000,1,Karnataka,Zippy Automart,Bangalore,1,8.3
588590,Mahindra,BOLERO,POWER PLUS ZLX,DIESEL,Diamond white,82484,SUV,,09-01-2018,2018,,885000,1,Karnataka,Cardiction,Bangalore,1,7.7
